grid,drive,P,K,readout,bal_mean,bal_std,flops_predict_sample,flops_fit_median,median_n_iter,n_train_mean,n_test_mean
16,15mT200,4,4,ternary,0.5551282167434692,0.08105161041021347,8,4915.200000000001,2,204,51
16,15mT200,4,8,analog,0.43107694387435913,0.06588184833526611,16,14745.6,3,204,51
16,15mT200,4,8,binary,0.6801538467407227,0.05117413401603699,16,19660.800000000003,4,204,51
16,15mT200,4,8,ternary,0.6393845677375793,0.06842157989740372,16,19660.800000000003,4,204,51
16,15mT200,4,16,analog,0.4258461594581604,0.06482493132352829,32,39321.600000000006,4,204,51
16,15mT200,4,16,binary,0.6951282620429993,0.056761838495731354,32,49152.0,5,204,51
16,15mT200,4,16,ternary,0.6654872298240662,0.06936901062726974,32,39321.600000000006,4,204,51
16,15mT200,4,32,analog,0.4305640757083893,0.08100379258394241,64,78643.20000000001,4,204,51
16,15mT200,4,32,binary,0.6824616193771362,0.05080356076359749,64,117964.8,6,204,51
16,15mT200,4,32,ternary,0.6351795196533203,0.0685001090168953,64,98304.0,5,204,51
16,15mT200,4,64,analog,0.43589743971824646,0.06273872405290604,128,196608.0,5,204,51
16,15mT200,4,64,binary,0.7272307872772217,0.05794087052345276,128,314572.80000000005,8,204,51
16,15mT200,4,64,ternary,0.7160513401031494,0.07474710792303085,128,235929.6,6,204,51
16,15mT200,4,128,analog,0.4632820785045624,0.06631611287593842,256,393216.0,5,204,51
16,15mT200,4,128,binary,0.7803589701652527,0.05346079170703888,256,1258291.2000000002,16,204,51
16,15mT200,4,128,ternary,0.7890256643295288,0.05967462807893753,256,629145.6000000001,8,204,51
16,15mT200,4,256,analog,0.5282564759254456,0.06257931888103485,512,786432000.0,5000,204,51
16,15mT200,4,256,binary,0.8441539406776428,0.044982392340898514,512,77699481.60000001,494,204,51
16,15mT200,4,256,ternary,0.8239488005638123,0.05157929286360741,512,82260787.2,523,204,51
16,15mT200,4,512,analog,0.61394864320755,0.06106862798333168,1024,1572864000.0,5000,204,51
16,15mT200,4,512,binary,0.8782050609588623,0.028586240485310555,1024,66060288.0,210,204,51
16,15mT200,4,512,ternary,0.841179609298706,0.0437438078224659,1024,91226112.0,290,204,51
16,15mT200,4,1024,analog,0.6181538105010986,0.06491250544786453,2048,3145728000.0,5000,204,51
16,15mT200,4,1024,binary,0.9055383801460266,0.03917713463306427,2048,97517568.0,155,204,51
16,15mT200,4,1024,ternary,0.8878974318504333,0.0372130386531353,2048,118908518.4,189,204,51
16,15mT200,4,2048,analog,0.5661025643348694,0.05631376430392265,4096,6291456000.0,5000,204,51
16,15mT200,4,2048,binary,0.9080513119697571,0.03648443520069122,4096,142186905.6,113,204,51
16,15mT200,4,2048,ternary,0.8981539607048035,0.03277776762843132,4096,163577856.0,130,204,51
16,15mT200,8,2,analog,0.5033332705497742,0.06761223077774048,4,1228.8000000000002,1,204,51
16,15mT200,8,2,binary,0.4948205053806305,0.043817322701215744,4,1228.8000000000002,1,204,51
16,15mT200,8,2,ternary,0.524051308631897,0.15528441965579987,4,1228.8000000000002,1,204,51
16,15mT200,8,4,analog,0.5017435550689697,0.07358043640851974,8,9830.400000000001,4,204,51
16,15mT200,8,4,binary,0.5318974256515503,0.05794091150164604,8,4915.200000000001,2,204,51
16,15mT200,8,4,ternary,0.5105127692222595,0.06618345528841019,8,4915.200000000001,2,204,51
16,15mT200,8,8,analog,0.4613846242427826,0.06032796949148178,16,24576.0,5,204,51
16,15mT200,8,8,binary,0.5366154313087463,0.0507255420088768,16,19660.800000000003,4,204,51
16,15mT200,8,8,ternary,0.5412307381629944,0.08835949748754501,16,19660.800000000003,4,204,51
16,15mT200,8,16,analog,0.4648205041885376,0.0455433689057827,32,58982.4,6,204,51
16,15mT200,8,16,binary,0.547743558883667,0.06142839416861534,32,39321.600000000006,4,204,51
16,15mT200,8,16,ternary,0.49174362421035767,0.08923274278640747,32,39321.600000000006,4,204,51
16,15mT200,8,32,analog,0.48707690834999084,0.07044977694749832,64,137625.6,7,204,51
16,15mT200,8,32,binary,0.6137436032295227,0.08392956107854843,64,98304.0,5,204,51
16,15mT200,8,32,ternary,0.6575384736061096,0.06139867752790451,64,98304.0,5,204,51
16,15mT200,8,64,analog,0.6069231033325195,0.07201084494590759,128,196608.0,5,204,51
16,15mT200,8,64,binary,0.6061025261878967,0.0414152629673481,128,235929.6,6,204,51
16,15mT200,8,64,ternary,0.6316410303115845,0.05935143306851387,128,235929.6,6,204,51
16,15mT200,8,128,analog,0.7451282143592834,0.06330394744873047,256,471859.2,6,204,51
16,15mT200,8,128,binary,0.6400512456893921,0.05029574781656265,256,707788.8,9,204,51
16,15mT200,8,128,ternary,0.6821538805961609,0.07221335917711258,256,550502.4,7,204,51
16,15mT200,8,256,analog,0.8307179808616638,0.04533327743411064,512,786432000.0,5000,204,51
16,15mT200,8,256,binary,0.6667179465293884,0.0810563713312149,512,516843110.40000004,3286,204,51
16,15mT200,8,256,ternary,0.7393333911895752,0.04859108477830887,512,230739148.8,1467,204,51
16,15mT200,8,512,analog,0.8813846707344055,0.04317772015929222,1024,1572864000.0,5000,204,51
16,15mT200,8,512,binary,0.8396410346031189,0.029957056045532227,1024,851863142.4000001,2708,204,51
16,15mT200,8,512,ternary,0.8382051587104797,0.051092728972435,1024,335963750.40000004,1068,204,51
16,15mT200,8,1024,analog,0.9035897850990295,0.04012865573167801,2048,3145728000.0,5000,204,51
16,15mT200,8,1024,binary,0.8789743185043335,0.05346434563398361,2048,421527552.0,670,204,51
16,15mT200,8,1024,ternary,0.902102530002594,0.054663728922605515,2048,339738624.0,540,204,51
16,15mT200,8,2048,analog,0.9101539254188538,0.03498457744717598,4096,6291456000.0,5000,204,51
16,15mT200,8,2048,binary,0.933538556098938,0.040269117802381516,4096,351063244.8,279,204,51
16,15mT200,8,2048,ternary,0.9489743709564209,0.02917087823152542,4096,380003942.40000004,302,204,51
16,30mT500,1,2,analog,0.44082048535346985,0.05636207386851311,4,3686.4,3,204,51
16,30mT500,1,2,binary,0.5886666178703308,0.051441896706819534,4,2457.6000000000004,2,204,51
16,30mT500,1,2,ternary,0.5457436442375183,0.06520722061395645,4,1228.8000000000002,1,204,51
16,30mT500,1,4,analog,0.4141538739204407,0.044649675488471985,8,7372.8,3,204,51
16,30mT500,1,4,binary,0.5705127716064453,0.052896883338689804,8,7372.8,3,204,51
16,30mT500,1,4,ternary,0.5510256290435791,0.06117112934589386,8,9830.400000000001,4,204,51
16,30mT500,1,8,analog,0.39446157217025757,0.05207201465964317,16,19660.800000000003,4,204,51
16,30mT500,1,8,binary,0.5455383658409119,0.055156365036964417,16,19660.800000000003,4,204,51
16,30mT500,1,8,ternary,0.5274871587753296,0.06280520558357239,16,19660.800000000003,4,204,51
16,30mT500,1,16,analog,0.34907692670822144,0.058020055294036865,32,39321.600000000006,4,204,51
16,30mT500,1,16,binary,0.5018974542617798,0.05485564097762108,32,39321.600000000006,4,204,51
16,30mT500,1,16,ternary,0.5493333339691162,0.07053352892398834,32,39321.600000000006,4,204,51
16,30mT500,1,32,analog,0.30594873428344727,0.06316657364368439,64,78643.20000000001,4,204,51
16,30mT500,1,32,binary,0.5061538219451904,0.0743720605969429,64,78643.20000000001,4,204,51
16,30mT500,1,32,ternary,0.5926666855812073,0.07277040183544159,64,98304.0,5,204,51
16,30mT500,1,64,analog,0.29405125975608826,0.07086251676082611,128,196608.0,5,204,51
16,30mT500,1,64,binary,0.6317948698997498,0.0670497864484787,128,235929.6,6,204,51
16,30mT500,1,64,ternary,0.647487223148346,0.054831612855196,128,235929.6,6,204,51
16,30mT500,1,128,analog,0.3357948660850525,0.05587945505976677,256,393216.0,5,204,51
16,30mT500,1,128,binary,0.6446667313575745,0.05525302514433861,256,2202009.6,28,204,51
16,30mT500,1,128,ternary,0.7242050766944885,0.04972894489765167,256,786432.0,10,204,51
16,30mT500,1,256,analog,0.3399486839771271,0.049101170152425766,512,786432000.0,5000,204,51
16,30mT500,1,256,binary,0.6864615678787231,0.04840966314077377,512,29412556.8,187,204,51
16,30mT500,1,256,ternary,0.8038461804389954,0.0341351255774498,512,26109542.400000002,166,204,51
16,30mT500,1,512,analog,0.3761538565158844,0.03673134371638298,1024,1301387673.6000001,4137,204,51
16,30mT500,1,512,binary,0.7372819781303406,0.06496904045343399,1024,28940697.6,92,204,51
16,30mT500,1,512,ternary,0.8677948117256165,0.04171555116772652,1024,28940697.6,92,204,51
16,30mT500,1,1024,analog,0.45523080229759216,0.07216691225767136,2048,799644057.6,1271,204,51
16,30mT500,1,1024,binary,0.7954871654510498,0.05038851499557495,2048,36490444.800000004,58,204,51
16,30mT500,1,1024,ternary,0.8859999775886536,0.03676912933588028,2048,39007027.2,62,204,51
16,30mT500,1,2048,analog,0.428512841463089,0.04349292069673538,4096,1014182707.2,806,204,51
16,30mT500,1,2048,binary,0.8111282587051392,0.06232311576604843,4096,55364812.800000004,44,204,51
16,30mT500,1,2048,ternary,0.9220512509346008,0.04361718147993088,4096,61656268.800000004,49,204,51
16,30mT500,2,2,analog,0.44389739632606506,0.053934335708618164,4,4915.200000000001,4,204,51
16,30mT500,2,2,binary,0.4634358584880829,0.04186562821269035,4,3686.4,3,204,51
16,30mT500,2,2,ternary,0.4615897536277771,0.11131329089403152,4,1228.8000000000002,1,204,51
16,30mT500,2,4,analog,0.43400001525878906,0.0472169890999794,8,4915.200000000001,2,204,51
16,30mT500,2,4,binary,0.4941538870334625,0.036095209419727325,8,9830.400000000001,4,204,51
16,30mT500,2,4,ternary,0.4510256350040436,0.09970040619373322,8,7372.8,3,204,51
16,30mT500,2,8,analog,0.38523080945014954,0.0782819464802742,16,19660.800000000003,4,204,51
16,30mT500,2,8,binary,0.5490256547927856,0.060630787163972855,16,19660.800000000003,4,204,51
16,30mT500,2,8,ternary,0.5769743323326111,0.056765876710414886,16,19660.800000000003,4,204,51
16,30mT500,2,16,analog,0.3624102473258972,0.06363658607006073,32,39321.600000000006,4,204,51
16,30mT500,2,16,binary,0.5979487299919128,0.05046267807483673,32,39321.600000000006,4,204,51
16,30mT500,2,16,ternary,0.5887179970741272,0.049862656742334366,32,39321.600000000006,4,204,51
16,30mT500,2,32,analog,0.3455384373664856,0.05302315950393677,64,78643.20000000001,4,204,51
16,30mT500,2,32,binary,0.6476923823356628,0.07240146398544312,64,98304.0,5,204,51
16,30mT500,2,32,ternary,0.6835898160934448,0.06936264783143997,64,98304.0,5,204,51
16,30mT500,2,64,analog,0.40338462591171265,0.07391439378261566,128,196608.0,5,204,51
16,30mT500,2,64,binary,0.6842051148414612,0.049085404723882675,128,275251.2,7,204,51
16,30mT500,2,64,ternary,0.7307178378105164,0.055215176194906235,128,235929.6,6,204,51
