grid,drive,P,readout,T,K_star,bal_at_K_star
16,45mT,2,analog,0.9,,0.5935384631156921
16,45mT,2,analog,0.95,,0.5935384631156921
16,45mT,2,binary,0.8,128,0.8097436428070068
16,45mT,2,binary,0.9,512,0.9322051405906677
16,45mT,2,binary,0.95,1024,0.9584615230560303
16,45mT,2,ternary,0.8,512,0.8756923675537109
16,45mT,2,ternary,0.9,2048,0.9223077297210693
16,45mT,2,ternary,0.95,,0.9223077297210693
16,45mT,4,analog,0.8,,0.5686153769493103
16,45mT,4,analog,0.9,,0.5686153769493103
16,45mT,4,analog,0.95,,0.5686153769493103
16,45mT,4,binary,0.8,512,0.864666759967804
16,45mT,4,binary,0.9,1024,0.9348717331886292
16,45mT,4,binary,0.95,2048,0.9518975019454956
16,45mT,4,ternary,0.8,1024,0.8701538443565369
16,45mT,4,ternary,0.9,2048,0.911384642124176
16,45mT,4,ternary,0.95,,0.911384642124176
16,45mT,8,analog,0.8,,0.5986154079437256
16,45mT,8,analog,0.9,,0.5986154079437256
16,45mT,8,analog,0.95,,0.5986154079437256
16,45mT,8,binary,0.8,256,0.8177948594093323
16,45mT,8,binary,0.9,,0.8842050433158875
16,45mT,8,binary,0.95,,0.8842050433158875
16,45mT,8,ternary,0.8,128,0.8518460988998413
16,45mT,8,ternary,0.9,,0.8973845839500427
16,45mT,8,ternary,0.95,,0.8973845839500427
16,60mT,1,analog,0.8,,0.5670256018638611
16,60mT,1,analog,0.9,,0.5670256018638611
16,60mT,1,analog,0.95,,0.5670256018638611
16,60mT,1,binary,0.8,256,0.8402051329612732
16,60mT,1,binary,0.9,1024,0.9337948560714722
16,60mT,1,binary,0.95,,0.9494360089302063
16,60mT,1,ternary,0.8,256,0.803897500038147
16,60mT,1,ternary,0.9,,0.8894872665405273
16,60mT,1,ternary,0.95,,0.8894872665405273
16,60mT,2,analog,0.8,,0.5463590025901794
16,60mT,2,analog,0.9,,0.5463590025901794
16,60mT,2,analog,0.95,,0.5463590025901794
16,60mT,2,binary,0.8,128,0.8022563457489014
16,60mT,2,binary,0.9,512,0.9403077363967896
16,60mT,2,binary,0.95,2048,0.9623591303825378
16,60mT,2,ternary,0.8,256,0.8100513219833374
16,60mT,2,ternary,0.9,2048,0.9106667041778564
16,60mT,2,ternary,0.95,,0.9106667041778564
16,60mT,4,analog,0.8,,0.6281538605690002
16,60mT,4,analog,0.9,,0.6281538605690002
16,60mT,4,analog,0.95,,0.6281538605690002
16,60mT,4,binary,0.8,256,0.8228206038475037
16,60mT,4,binary,0.9,1024,0.9358974695205688
16,60mT,4,binary,0.95,,0.9491795301437378
16,60mT,4,ternary,0.8,256,0.8190769553184509
16,60mT,4,ternary,0.9,1024,0.9322052001953125
16,60mT,4,ternary,0.95,,0.9478461742401123
16,60mT,8,analog,0.8,,0.5217435956001282
16,60mT,8,analog,0.9,,0.5217435956001282
16,60mT,8,analog,0.95,,0.5217435956001282
16,60mT,8,binary,0.8,128,0.8425129055976868
16,60mT,8,binary,0.9,512,0.9024103283882141
16,60mT,8,binary,0.95,,0.9024103283882141
16,60mT,8,ternary,0.8,128,0.8698461055755615
16,60mT,8,ternary,0.9,,0.894871711730957
16,60mT,8,ternary,0.95,,0.894871711730957
32,45mT_t05,1,analog,0.8,,0.5195761322975159
32,45mT_t05,1,analog,0.9,,0.5195761322975159
32,45mT_t05,1,analog,0.95,,0.5195761322975159
32,45mT_t05,1,binary,0.8,,0.6617710590362549
32,45mT_t05,1,binary,0.9,,0.6617710590362549
32,45mT_t05,1,binary,0.95,,0.6617710590362549
32,45mT_t05,1,ternary,0.8,,0.7268608212471008
32,45mT_t05,1,ternary,0.9,,0.7268608212471008
32,45mT_t05,1,ternary,0.95,,0.7268608212471008
32,45mT_t05,2,analog,0.8,,0.4922012686729431
32,45mT_t05,2,analog,0.9,,0.4922012686729431
32,45mT_t05,2,analog,0.95,,0.4922012686729431
32,45mT_t05,2,binary,0.8,1024,0.8089504241943359
32,45mT_t05,2,binary,0.9,,0.853839099407196
32,45mT_t05,2,binary,0.95,,0.853839099407196
32,45mT_t05,2,ternary,0.8,2048,0.8288089632987976
32,45mT_t05,2,ternary,0.9,,0.8288089632987976
32,45mT_t05,2,ternary,0.95,,0.8288089632987976
32,45mT_t05,4,analog,0.8,,0.6552794575691223
32,45mT_t05,4,analog,0.9,,0.6552794575691223
32,45mT_t05,4,analog,0.95,,0.6552794575691223
32,45mT_t05,4,binary,0.8,1024,0.876591145992279
32,45mT_t05,4,binary,0.9,2048,0.9212449193000793
32,45mT_t05,4,binary,0.95,,0.9212449193000793
32,45mT_t05,4,ternary,0.8,2048,0.8300273418426514
32,45mT_t05,4,ternary,0.9,,0.8300273418426514
32,45mT_t05,4,ternary,0.95,,0.8300273418426514
32,45mT_t05,8,analog,0.8,,0.7809442281723022
32,45mT_t05,8,analog,0.9,,0.7809442281723022
32,45mT_t05,8,analog,0.95,,0.7809442281723022
32,45mT_t05,8,binary,0.8,64,0.8111777901649475
32,45mT_t05,8,binary,0.9,1024,0.910133957862854
32,45mT_t05,8,binary,0.95,,0.9365347027778625
32,45mT_t05,8,ternary,0.8,64,0.8187131285667419
32,45mT_t05,8,ternary,0.9,1024,0.9108033776283264
32,45mT_t05,8,ternary,0.95,,0.9300177693367004
32,45mT_t05,16,analog,0.8,,0.5707183480262756
32,45mT_t05,16,analog,0.9,,0.5707183480262756
32,45mT_t05,16,analog,0.95,,0.5707183480262756
32,45mT_t05,16,binary,0.8,64,0.8447077870368958
32,45mT_t05,16,binary,0.9,256,0.9075576066970825
32,45mT_t05,16,binary,0.95,,0.9075576066970825
32,45mT_t05,16,ternary,0.8,64,0.8534647226333618
32,45mT_t05,16,ternary,0.9,128,0.9163430333137512
32,45mT_t05,16,ternary,0.95,256,0.9524779915809631
